Adam West
Al Michaels
Al Roker
Alan Alda
Alan Thicke
Alex Karras
Alex Trebek
Alice Cooper
Allen Funt
Allen Ludden
Amanda Blake
Andrea Kremer
Andy Griffith
Andy Kaufman
Angela Lansbury
Ann B
Ann Curry
Annette Funicello
Anthony Bourdain
Arlene Francis
Arsenio Hall
Art Carney
Art Linkletter
Barbara Eden
Barbara Walters
Bea Arthur
Ben Stein
Bennett Cerf
Bert Convy
Betty White
Bill Cosby
Bill Cullen
Bill Maher
Bill Moyers
Bill Nye
Billy Crystal
Bob Barker
Bob Costas
Bob Denver
Bob Eubanks
Bob Hope
Bob Newhart
Bonnie Bernstein
Bonnie Hunt
Bozo the Clown
Brent Musburger
Brett Somers
Bruce Forsyth
Bryant Gumbel
Buddy Ebsen
Buffalo Bob Smith
Burt Reynolds
Captain Kangaroo
Captain Noah
Cari Champion
Carol Burnett
Carol Channing
Carroll O'Connor
Casey Kasem
Charissa Thompson
Charles Kuralt
Charles Nelson Reilly
Charles Osgood
Charlie Rose
Charlotte Rae
Chet Huntley
Chevy Chase
Chris Berman
Chuck Barris
Chuck Connors
Chuck Woolery
Cloris Leachman
Conan O’Brien
Craig Ferguson
Craig Kilborn
Craig Sager
Dale Evans
Dan Rather
Danny Kaye
David Brinkley
David Frost
David Hartman
David Letterman
Dean Cain
Dean Martin
Dennis Weaver
Diane Sawyer
Dick Cavett
Dick Clark
Dick Enberg
Dick Van Dyke
Dick Vitale
Dick York
Dinah Shore
Don Adams
Don Knotts
Don Rickles
Donna Reed
Doris Burke
Doris Day
Dorothy Kilgallen
Douglas Fairbanks Jr.
Drew Carey
Ed Asner
Ed McMahon
Ed Sullivan
Edward R
Elizabeth Montgomery
Ellen DeGeneres
Erin Andrews
Ernie Harwell
Ernie Kovacs
Eva Gabor
Fannie Flagg
Florence Henderson
Frank Gifford
Fred Gwynne
Fred Rogers
Gale Storm
Garry Moore
Garry Shandling
Gene Autry
Gene Rayburn
George Burns
George Peppard
George Reeves
George Takei
Geraldo Rivera
Glenn Ford
Gracie Allen
Groucho Marx
Hal Linden
Hannah Storm
Harry Anderson
Harry Caray
Harry Reasoner
Harvey Korman
Henry Winkler
Hoda Kotb
Howard Cosell
Howdy Doody
Howie Mandel
Hugh Beaumont
Hugh Downs
Jack Benny
Jack Buck
Jack Klugman
Jack LaLanne
Jack Narz
Jack Paar
Jack Webb
Jackie Gleason
James Arness
James Garner
Jane Pauley
Jane Wyatt
Jay Leno
Jean Stapleton
Jeff Probst
Jemele Hill
Jerry Lewis
Jerry Mathers
Jerry Springer
Jim Henson
Jim Lange
Jim McKay
Jim Perry
Joan Rivers
Joe Garagiola
John Chancellor
John Daly
John Forsythe
John Madden
John Ritter
Johnny Carson
Johnny Cash
Jon Stewart
Jonathan Winters
June Lockhart
Karl Malden
Kate Jackson
Kathie Lee Gifford
Katie Couric
Keith Jackson
Kelly Ripa
Ken Howard
Kevin Sorbo
Kitty Carlisle
Lamb Chop
Larry King
Lawrence Welk
Lesley Visser
Linda Cohn
Lorne Greene
Lou Ferrigno
Lucie Arnaz
Lucille Ball
Macdonald Carey
Marcia Wallace
Maria Taylor
Marion Ross
Mark Harmon
Marv Albert
Mary Ann Mobley
Mary Hart
Mary Lou Retton
Mary Tyler Moore
Matt Lauer
Maury Povich
Mel Allen
Meredith Vieira
Merv Griffin
Michael Landon
Michael Strahan
Michele Tafoya
Michelle Tafoya
Mike Douglas
Mike Wallace
Milton Berle
Montel Williams
Monty Hall
Morton Downey Jr.
Nancy Reagan
Nipsey Russell
Norman Lear
Oprah Winfrey
Orson Bean
Pam Oliver
Pat Sajak
Pat Summerall
Patrick Duffy
Paul Lynde
Paul Winchell
Perry Como
Peter Graves
Peter Jennings
Peter Marshall
Phil Donahue
Phyllis Diller
Rachel Nichols
Raymond Burr
Red Skelton
Regis Philbin
Richard Dawson
Ricki Lake
Robert Conrad
Robert Stack
Robin Roberts
Rod Serling
Rosie O’Donnell
Roy Rogers
Ryan Seacrest
Sage Steele
Sally Jessy Raphael
Sam Donaldson
Shari Lewis
Sid Caesar
Soupy Sales
Stephen Colbert
Steve Allen
Steve Harvey
Stuart Scott
Suzy Kolber
Ted Koppel
Tom Bergeron
Tom Brokaw
Tom Kennedy
Tom Snyder
Vanna White
Vin Scully
Walter Cronkite
Wayne Brady
Willard Scott
Wink Martindale
